Zip_Code,Customer_State,Order_Source,Total_Order_Amount,Average_Order_Amount,Unique_Orders
75662,TX,Web                                                                                                 ,5324.87,1331.217500,4
78756,TX,Web                                                                                                 ,14446.90,1203.908333,12
78207,TX,Web                                                                                                 ,3605.07,1201.690000,3
77318,TX,Web                                                                                                 ,11398.58,1266.508888,9
77807,TX,Web                                                                                                 ,11090.59,1232.287777,9
76106,TX,Web                                                                                                 ,13871.23,1261.020909,11
76903,TX,Web                                                                                                 ,4614.03,1153.507500,4
79935,TX,Web                                                                                                 ,12624.54,1262.454000,10
77036,TX,Web                                                                                                 ,6501.51,1300.302000,5
79413,TX,Web                                                                                                 ,3967.07,1322.356666,3
79905,TX,Web                                                                                                 ,17813.01,1272.357857,14
77520,TX,Web                                                                                                 ,6853.36,1370.672000,5
78589,TX,Web                                                                                                 ,12029.04,1336.560000,9
78028,TX,Web                                                                                                 ,14382.68,1307.516363,11
78520,TX,Web                                                                                                 ,9878.61,1234.826250,8
78577,TX,Web                                                                                                 ,16730.70,1394.225000,12
78557,TX,Web                                                                                                 ,19251.58,1283.438666,15
78578,TX,Web                                                                                                 ,10569.21,1174.356666,9
78539,TX,Web                                                                                                 ,7010.55,1168.425000,6
79924,TX,Web                                                                                                 ,10321.50,1290.187500,8
78566,TX,Web                                                                                                 ,13577.36,1357.736000,10
78840,TX,Web                                                                                                 ,6038.74,1207.748000,5
